COLOR   1       2       3       4       5       6       7       8       9       10      11  
AMBER   124.750 238.750 227.000 235.750 244.500 226.000 36.50   123.250 126.750 131.100 124.100 
AQUA    33.75   129.750 226.750 131.250 231.000 247.750 133.100 233.750 236.250 139.750 36.75   
BLACK   35.600  32.900  48.500  33.800  36.300  37.800  38.200  39.800  40.400  41.000  36.400  
BLUE    123.000 238.250 237.000 128.000 31.25   118.500 117.500 226.250 117.000 30.75   125.000 
BRONZE  309.000 140.700 130.700 135.700 -       306.000 132.700 310.000 -       -       -        
BROWN   248.250 138.750 136.000 33.50   132.250 232.000 233.250 231.750 120.750 228.500 137.000 
CHERRY  121.500 31.50   242.000 35.75   243.000 138.000 132.100 243.750 239.250 131.750 244.250 
COPPER  -       134.700 -       141.700 310.900 309.500 -       -       307.000 133.700 -           
CORAL   124.250 33.25   138.250 240.250 135.750 241.750 33.00   139.100 239.000 229.500 225.500 
GOLD    247.000 134.000 240.500 129.100 36.25   229.250 235.500 241.500 127.250 35.50   245.500 
GRAY    35.00   248.000 128.750 122.100 228.750 235.250 135.250 242.750 118.250 122.250 30.25   
GREEN   30.00   45.00   120.000 229.000 230.250 248.750 231.500 32.25   137.750 123.750 32.50   
INDIGO  137.100 119.750 233.500 239.750 245.750 136.250 139.000 246.500 140.750 225.750 230.500 
LEMON   34.25   133.50  132.750 123.100 36.00   241.250 236.500 37.50   234.250 135.000 37.75   
LIME    247.250 126.100 246.000 244.000 230.750 37.00   232.250 245.250 38.75   130.000 247.500 
MAROON  139.250 38.00   239.500 122.750 39.25   39.50   240.750 241.000 37.25   226.500 140.000 
OCHRE   227.750 236.750 227.250 242.500 120.250 39.00   38.50   136.750 234.000 125.250 39.75   
OLIVE   140.100 246.750 141.000 141.750 141.100 150.000 -       149.000 141.250 151.000 21.00   
ORANGE  122.000 242.250 243.250 129.000 117.750 225.250 246.250 32.75   119.500 228.000 229.750 
PINK    233.000 130.100 124.000 128.250 125.750 34.50   234.750 34.75   234.500 244.750 238.000 
PURPLE  248.500 127.000 134.250 130.250 38.25   131.000 236.000 237.500 133.750 138.100 127.750 
RED     140.250 31.00   35.25   127.100 245.000 30.50   231.250 118.000 134.100 243.500 119.250 
SILVER  131.700 305.000 310.500 308.000 -       -       136.700 -       142.700 309.900 -           
VIOLET  240.000 135.100 134.750 232.500 232.750 32.00   130.750 129.250 132.000 228.250 136.100 
WHITE   126.250 137.250 238.500 126.000 237.250 117.250 121.000 118.750 120.500 119.000 235.000 
YELLOW  227.500 128.100 237.750 34.00   121.250 230.000 121.100 225.000 31.75   133.000 121.750 

